"{""data"":[{""Brand Name"":""ExampleBrand""","Category Name:""ExampleCategory""","Vendor Name:""ExampleVendor""","Product Name:""New Product Name""","Tax Name:""GST 5%""","HSN Code:""1234""","EAN:""""",MRP:100,Purchase Rate:80,Distributor Rate:0,Wholesale Rate:0,Dealer Rate:0,Retail Rate:0}],"fileName:""product_import_template""","fileType:""csv""}",Error,Row
Nambisans,Edible Oils & Ghee,Nambisans Diary Private Limited,NS Ghee 100 ml,GST 5%,4059020,,120,86.58095238,95.23809524,95.23809524,95.23809524,95.23809524,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",2
Nambisans,Edible Oils & Ghee,Nambisans Diary Private Limited,NS Ghee 1000 ml,GST 5%,4059020,,1050,757.5714286,833.3333333,833.3333333,833.3333333,1000,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",3
Nambisans,Edible Oils & Ghee,Nambisans Diary Private Limited,NS Ghee 200 ml,GST 5%,4059020,,230,165.9714286,182.5714286,182.5714286,182.5714286,219.047619,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",4
Nambisans,Edible Oils & Ghee,Nambisans Diary Private Limited,NS Ghee 50 ml,GST 5%,4059020,,65,46.92380952,51.61904762,51.61904762,51.61904762,61.9047619,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",5
Nambisans,Edible Oils & Ghee,Nambisans Diary Private Limited,NS Ghee 500 ml,GST 5%,4059020,,550,396.8,436.4761905,436.4761905,436.4761905,428.5714286,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",6
Nambisans,Edible Oils & Ghee,Nambisans Diary Private Limited,NS Honey 1000GM,GST 5%,4090000,,500,360.75,396.825,396.825,396.825,396.825,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",7
Nambisans,Edible Oils & Ghee,Nambisans Diary Private Limited,NS Honey 125,GST 5%,4090000,,70,50.5021645,55.55238095,55.55238095,55.55238095,63.33333333,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",8
Nambisans,Edible Oils & Ghee,Nambisans Diary Private Limited,NS Honey 250,GST 5%,4090000,,135,97.4025974,107.1428571,107.1428571,107.1428571,122.1428571,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",9
Nambisans,Edible Oils & Ghee,Nambisans Diary Private Limited,NS Honey 400g Squeezy,GST 5%,4090000,,210,151.5142857,166.6666667,166.6666667,166.6666667,190,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",10
Nambisans,Edible Oils & Ghee,Nambisans Diary Private Limited,NS Honey 700 gm,GST 5%,4090000,,350,252.5281385,277.7809524,277.7809524,277.7777778,277.7777778,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",11
Rg Foods,Edible Oils & Ghee,RG FOODS,NS Honey 75 gm,GST 5%,4090000,,45,32.46753247,35.71428571,35.71428571,35.71428571,40.71428571,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",12
Rg Foods,Edible Oils & Ghee,RG FOODS,RG ASAFOETIDA 100G BAR,GST 5%,13019013,,149,104.4190476,112.7809524,112.7809524,114.8666667,134.8095238,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",13
Rg Foods,Edible Oils & Ghee,RG FOODS,RG ASAFOETIDA 100G POWDER,GST 5%,13019013,,157,109.8857143,118.6761905,118.6761905,120.8666667,142.047619,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",14
Rg Foods,Edible Oils & Ghee,RG FOODS,RG ASAFOETIDA 20G BAR,GST 5%,13019013,,32,22.6,24.40952381,24.40952381,24.85714286,28.95238095,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",15
Rg Foods,Edible Oils & Ghee,RG FOODS,RG ASAFOETIDA 20G POWDER,GST 5%,13019013,,37,25.99047619,28.06666667,28.06666667,28.59047619,33.47619048,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",16
Rg Foods,Edible Oils & Ghee,RG FOODS,RG ASAFOETIDA 50G BAR,GST 5%,13019013,,77,53.91428571,58.22857143,58.22857143,59.3047619,69.66666667,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",17
Rg Foods,Edible Oils & Ghee,RG FOODS,RG ASAFOETIDA 50G POWDER,GST 5%,13019013,,81,56.99047619,61.55238095,61.55238095,62.68571429,73.28571429,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",18
Rg Foods,Edible Oils & Ghee,RG FOODS,RG GINGELLY OIL 1 LTR,GST 5%,15155091,,289,196.0380952,205.8380952,205.8380952,211.7238095,261.4761905,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",19
Rg Foods,Edible Oils & Ghee,RG FOODS,RG GINGELLY OIL 100 ML,GST 5%,15155091,,33,22.38095238,23.5047619,23.5047619,24.17142857,29.85714286,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",20
Rg Foods,Edible Oils & Ghee,RG FOODS,RG GINGELLY OIL 2 LTR,GST 5%,15155091,,550,383.6380952,395.1428571,395.1428571,402.8190476,497.6190476,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",21
Rg Foods,Edible Oils & Ghee,RG FOODS,RG GINGELLY OIL 200 ML,GST 5%,15155091,,65,44.0952381,46.2952381,46.2952381,47.61904762,58.80952381,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",22
Rg Foods,Edible Oils & Ghee,RG FOODS,RG GINGELLY OIL 5 LTR,GST 5%,15155091,,1293,901.847619,928.9047619,928.9047619,946.9428571,1169.857143,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",23
Rg Foods,Edible Oils & Ghee,RG FOODS,RG GINGELLY OIL 500 ML,GST 5%,15155091,,149,101.0761905,106.1238095,106.1238095,109.1619048,134.8095238,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",24
Rg Foods,Edible Oils & Ghee,RG FOODS,RG NANNARI SARBATH 750ML,GST 5%,21069011,,165,99.76271186,107.7437288,107.7437288,109.7389831,132.8389831,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",25
Rg Foods,Edible Oils & Ghee,RG FOODS,RG Payasam Mix Palada 300g,GST 5%,21069099,,85,51.27966102,55.38135593,55.38135593,55.38135593,76.9047619,,,"Brand 'undefined' not found, Category 'undefined' not found, Tax 'undefined' not found",26
