id,created_at,Brand_Code,Brand,is_active
1,1767162886685,MC,Mc-Vities,1
2,1767162890720,GN,Gniderton,1
3,1767162890722,GD,"Go Desi",1
4,1767162890725,AQ,Aquamia,1
5,1767162890727,DM,"Del Monte",1
6,1767162890729,NS,Nambisan'S,1
7,1767162890731,GRB,Grb,1
8,1767162890733,TB,Townbus,1
9,1767162890735,RG,"Rg Foods",1
10,1767162890737,SM,"Some More",1
11,1767162890740,UT,Unitaste,1
12,1767162890742,AV,Anti-Virus,
13,1767162890744,VC,Victory,
14,1767162890746,MS,Masters,1
15,1767162890748,TH,Thadi,
16,1767162890750,CB,Coolberg,1
