id,created_at,Category_Code,Category_Name,is_active
1,1767162959947,,Bourbon,
2,1767162962726,,"Butter Cookie",
3,1767162962729,,"Butter Jeera",
4,1767162962731,,"Cashew Cookie",
5,1767162962733,,Cream,
6,1767162962735,,Digestive,
7,1767162962737,,Hobnobs,
8,1767162962739,,Marie,
9,1767162962741,,"Millet Honey",
10,1767162962743,,"Tasties Butter",
11,1767162962745,,"Tasties Cashew",
12,1767162962747,,"Tasties Coconut",
13,1767162962749,,"Tasties Cream",
14,1767162962751,,"Whole Wheat",
15,1767162962753,,"Zero Percentage Sugar",
16,1767162962756,,Discount,
17,1767162962758,,Candy,
18,1767162962762,,"Packaged Drinking Water",
19,1767162962764,,Dates,
20,1767162962766,,"Olive Oil",
21,1767162962769,,Pasta,
22,1767162962771,,Sauce,
23,1767162962773,,Slice,
24,1767162962775,,"Topping Syrup",
25,1767162962779,,"Coconut Oil",
26,1767162962781,,Ghee,
27,1767162962783,,Honey,
28,1767162962785,,"Badam Mix",
29,1767162962788,,"Bajji Mix",
30,1767162962790,,"Gulab Jamun",
31,1767162962792,,"Gulab Jamun Mix",
32,1767162962795,,Rasagulla,
33,1767162962797,,Soancake,
34,1767162962799,,Soanpapdi,
35,1767162962801,,10Rs,
36,1767162962803,,5Rs,
37,1767162962805,,Snacks,
38,1767162962807,,Asafoetida,
39,1767162962809,,"Gingelly Oil",
40,1767162962811,,"Nannari Sarbath",
41,1767162962813,,"Payasam Mix",
42,1767162962816,,Tamarind,
43,1767162962821,,"Millet Pasta",
44,1767162962824,,"Breakfast Series",
45,1767162962828,,Cambodge,
46,1767162962830,,Coffee,
47,1767162962832,,"Curry Powder",
48,1767162962834,,"Instant Payasam",
49,1767162962844,,Pickle,
50,1767162962848,,"Soya Ball",
51,1767162962855,,"Straight Powders",
52,1767162962860,,"Tea Dust",
53,1767162962863,,Vinegar,
54,1767162962866,,Wholeseed,
55,1767162962871,,"Dish Wash Liquid",
56,1767162962873,,"Floor Cleaner",
57,1767162962878,,"Liquid Detergent",
58,1767162962881,,"Toilet Bowl Cleaner",
59,1767162962883,,"Washing Soap",
60,1767162962887,,Jam,
61,1767162962889,,"Milky Mix",
62,1767162962892,,Syrup,
63,1767162962895,,"Na Beer 275Ml",
64,1767162962897,,"Na Beer 300Ml",
65,1767162962900,,"Na Beer 330Ml",
