id,created_at,vendor_id,brand_id,category_id,product_code,product_name,ean_code,hsn_id,mrp,tax_id,purchase_rate,distributor_rate,wholesale_rate,dealer_rate,retail_rate
1,1767164120456,6,1,1,MC20,"Mc-Vities Bourbon RS.10",0,1,9,1,7.11864,0,8.21429,8.21429,0.0873
2,1767164130106,6,1,1,MC21,"Mc-Vities Bourbon RS.30",0,1,30,1,21.35593,0,23.83,23.83,0.20567
3,1767164130118,6,1,1,MC22,"Mc-Vities Bourbon RS.75 (3+1)",0,1,90,1,64.09672,0,76.8125,76.8125,0.14653
4,1767164130130,6,1,2,MC31,"Mc-Vities Butter Cookie RS.20",0,1,19.12,1,14.23729,0,17.07143,17.07143,0.10714
5,1767164130142,6,1,2,MC33,"Mc-Vities Butter Cookie RS.60 (1+1)",0,1,57.35,1,42.71186,0,51.20536,51.20536,0.10714
6,1767164130153,6,1,3,MC43,"Mc-Vities Butter Jeera",0,1,50,1,35.59322,0,42.67857,42.67857,0.14643
7,1767164130165,6,1,4,MC39,"Mc-Vities Cashew Almond Cookies Family",0,1,181.62,1,70.44492,0,162.16071,162.16071,0.10714
8,1767164130177,6,1,4,MC37,"Mc-Vities Cashew Cookie RS.60 (1+1)",0,1,57.35,1,42.71186,0,51.20536,51.20536,0.10714
9,1767164130188,6,1,5,MC9,"Mc-Vities Chocolate Cream",0,1,26.69,1,21.35593,0,23.83,23.83,0.10716
10,1767164130200,6,1,5,MC23,"Mc-Vities Orange Cream RS.10",0,1,9,1,7.11864,0,8.21429,8.21429,0.0873
11,1767164130211,6,1,5,MC29,"Mc-Vities Tasties Cream Orange Rs.30",0,1,30,1,21.35593,0,23.83,23.83,0.20567
12,1767164130222,6,1,6,MC34,"Mc-Vities Digestive Cream Vanilla",0,1,31.5,1,24.91525,0,29.875,29.875,0.05159
13,1767164130234,6,1,6,MC15,"Mc-Vities Digestive Family Pack",0,1,191.18,1,115.67797,0,170.69643,170.69643,0.10714
14,1767164130248,6,1,6,MC2,"Mc-Vities Digestive RS.10",0,1,9,1,7.11864,0,8.21429,8.21429,0.0873
